

Day 1
ability  n. 能力；才能                
at  prep.在（几点钟）;在（某处） 
atmosphere  n. 大气；气氛 
attach  v. 把…固定，重视
attack  vt. / n. 攻击，袭击 
attempt  vt. 试图，尝试 
attend  v. 看护，照料，服侍；出席，参加 
attention  n. 注意，关心 
attitude  n. 态度，看法 
attract  v. 吸引，引起 
attractive  a. 迷人的，有吸引力的 
audience  n. 观众，听众 
aunt  n. 伯母；舅母；婶；姑；姨 
author  n. 作者，作家 
authority  n.权力,权威,威信,官方
August  n. 8月 
Australia  * n. 澳洲；澳大利亚 
Australian  a. 澳洲的，澳大利亚人的 n. 澳大利亚人 
autumn  n. 秋天，秋季 
available  a. 可获得的，有空的
average  a.平均；普通的 n.平均数 
avoid  v. 避免，躲开，逃避 
awake (awoke, awoken)  v. 唤醒 a. 醒着的 
award  n. 奖品，奖励 
aware  a. 知道，意识到，发觉
away  ad. 离开；远离 
awful  a. 很坏的，极讨厌的
Baby  n. 婴儿 
back  ad. 回（原处）；向后 a. 后面的 n. 背后，后部；背 
background  n. 背景 
backward(s)  ad. 向后 
bad (worse, worst)  a. 坏的；有害的，不利的；严重的 
bag  n. 书包；提包；袋子 
balance  n. 平衡 
ball  n. 球 n. 舞会 
band  n. 乐队
bank  n. （河海湖的）岸，堤 n. 银行 
bar  n. 条（长方）块，棒，横木 n.（酒店的）买酒柜台；酒吧；（卖东西的）柜台 
base  n. 根据地，基地（棒球）垒 
basic  a. 基本的 
basis  n. 原因，缘由，要素
basket  n. 篮子 
basketball  n. 篮球 
bath  n. 洗澡；浴室；澡盆 
bathe  vi. 洗澡；游泳 
bathroom  n. 浴室，盥洗室 
bathtub   n. 澡盆 
battle  n. 战斗；战役 
be  v. 是（原形）,其人称和时态形式有(am, is, are, was, were, being, been)；成为 
beach  n. 海滨，海滩 
bear  v. 承受，负担，承担；忍受；容忍 n. 熊 
beat (beat, beaten)  v. 敲打；跳动；打赢 n. （音乐）节拍 
beautiful  a. 美，美丽，美观的 
beauty  n. 美丽，美人 
because  conj. 因为 
become (became, be come)  v. 变得；成为 
bed  n. 床 
beddings  n. 卧具，铺盖
bedroom  n. 寝室，卧室 
beer  n. 啤酒 

Day 4
before  prep. 在…以前；在…前面 ad. 以前 conj. 在…之前
begin(began,begun)  v.开始,着手 
behave  v. 守规矩，行为 
behaviour/   n. 行为，举止 
behind prep. (表示位置)在…后面 ad. 在后面；向后 
belief  n. 信条，信念 
believe  v. 相信，认为 
bell  n. 钟,铃;钟(铃)声;钟形物 
belong  vi. 属，附属 
below  prep. 在……下面 
bend (bent, bent)  vt. 使弯曲 
beneath  prep. 在…下方（面） 
benefit  n. / v.优势,益处,使…受益
bent  a. 弯的 
beside  prep. 在…旁边；靠近 
besides  prep. 除…以外（还有） ad. 还有，此外 
between  prep. 在（两者）之间；在…中间 
beyond  prep. (表示位置) 在…的那边 
big  a. 大的 
bike = bicycle  n. 自行车
bill  n.账单；法案，议案； （美）钞票，纸币 
bird  n. 鸟 
birth  n. 出生； 诞生 
birthday  n. 生日 
birthplace  n. 出生地；故乡 
bit  n. 一点，一些，少量的 
black  n. 黑色 a. 黑色的 
blackboard  n. 黑板 
blame  n.& v. 责备；责怪 
block  n. 大块；（木、石等）块；街区；路障 vt. 阻塞；阻挡 
blood  n. 血，血液 
blow (blew, blown)   v. 吹，刮风
blue  n. 蓝色 a.蓝色的 a. 悲伤的；沮丧的 
board  n. 木板；布告牌；委员会；（政府的）部 v. 上（船、火车、飞机） 
boat  n. 小船，小舟 
body n. 身体 
bone  n. 骨头，骨质（复数bones骨骼；骨骸） 
book  n. 书；本子 v. 预定，定（房间、车票等） 
border  n. 边缘；边境，国界 
bored a.（对人，事）厌倦的，烦闷的
born  a. 出生
borrow  v. （向别人）借用；借 
boss  n. 领班；老板 
both  a. 两；双 pron. 两者；双方 
bottle  n. 瓶子 
bottom  n. 底部；底 
bowl  n. 碗 
box  n. 盒子，箱子 
boy  n. 男孩 
brain  n. 脑（子） 
branch  n. 树枝；分枝；分公司，分店；支部 
brave  a. 勇敢的 
bravery  n. 勇气 
bread  n. 面包 
break  n. 间隙 
break (broke, broken)  v. 打破（断，碎）；损坏，撕开 
breath  n. 气息；呼吸 
breathe  vi. 呼吸 

Day 5
breathless  a. 气喘吁吁的，上气不接下气的
brick  n. 砖；砖块 
bridge  n. 桥 
brief  a. 简洁的 
bright  a. 明亮的；聪明的 
bring (brought, brought)  vt. 拿来，带来，取来 
broad  a. 宽的，宽大的 
broken  a. 弄坏了的 
brother  n. 兄；弟
brown  n. 褐色，棕色 a. 褐色的，棕色的 
brush  v. 刷；擦 n. 刷子 
build (built, built)  v. 建筑；造 
building  n. 建筑物；房屋；大楼 
burn (--ed, --ed 或 burnt, burnt)  v. 燃，烧，着火；使烧焦；使晒黑 n. 烧伤；晒伤 
burst  v. 突然发生； 突然发作 
bus  n. 公共汽车 
business  n. （本分）工作，职业；职责；生意，交易；事业 
busy  a. 忙（碌）的
but  conj. 但是，可是 prep. 除了, 除……外 
butter  n. 黄油，奶油 
button  n. 纽扣；（电铃等的）按钮 v. 扣（纽扣） 
buy (bought,bought)  vt. 买 
by  prep. 靠近，在…旁；在…时间；不迟于；被；用；由；乘（车） 
café  n. 咖啡馆； 餐馆 
calculate  v. 计算，核算，推测
cake  n. 蛋糕，糕点；饼 
call  n. 喊，叫；电话，通话 v. 称呼；呼唤；喊，叫 
calm  a. 镇静,沉着的 v.镇静沉着 
camera  n. 照相机；摄像机
can (could) can't = can not  modal v. 可能；能够；可以 不能 n.（美）罐头；罐子 
a can opener  开罐器 
cap  n. （无檐的或仅在前面有檐的）帽子；（瓶子的）盖；（钢笔等的）笔套 
capital  n.首都.省会.大写；资本 
captain  n.(海军)上校；船长，舰长；队长 
car  n. 汽车，小卧车 
card  n.卡片；名片；纸牌 
care  n. 照料，保护；小心v. 介意……，在乎；关心 
careful  a. 小心，仔细，谨慎的 
carpet  n. 地毯 
carry  vt. 拿，搬，带，提，抬，背，抱，运等 
case  n. 情况；病例；案件；真相  n. 箱；盒；容器 
cash  n. 现金，现钞 v. 兑现 
castle  n. 城堡 
cat  n. 猫 
catch(caught,caught) v. 接住；捉住；赶上；染上（疾病） 
cause  n. 原因，起因 vt. 促使，引起，使发生 
celebrate  v. 庆祝 
celebration  n. 庆祝；庆祝会 
cell  n.（监狱的）单人牢房；（修道院等的）单人小室；（蜂巢的）小蜂窝，蜂房； 细胞
cent  n. 美分（100 cents = 1 dollar） 
central  a. 中心，中央；主要的 
centre (美 center ) n. 中心，中央 
century  n. 世纪，百年 
certain  a. （未指明真实名称的）某…；确定的，无疑的；一定会… 
certificate  n. 证明，证明书 
chain  n. 链； 链条 
chair  n. 椅子 
challenge  n.挑战(性)
challenging  a.具有挑战性的
chance  n. 机会，可能性 
changeable  a.易变的，变化无常的
change  n. 零钱；找头v. 改变，变化；更换；兑换

Day 6
channel  n.频道；通道；水渠 
chapter  n. 章 
character  n.（汉）字.字体；品格 
charge  v. 要求收费；索价；将(电池)充电 n. 费用；价钱
cheap  a. 便宜的，贱 
check  n. 检查；批改 vt. 校对，核对； 检查；批改 
chemical  a. 化学的 n. 化学品 
chemist  n. 药剂师；化学家 
chemistry  n. 化学 
chest  n. 箱子；盒子；胸部 
chicken  n. 鸡；鸡肉 
chief  a. 主要,首要的 n.领导，头 
child (复children)  n. 孩子，儿童 
chocolate  n. 巧克力 
choice  n. 选择；抉择 
choose (chose, chosen)  vt. 选择 
Christmas  n. 圣诞节（12月25日） 
church  n. 教堂；教会 
cigarette  n. 纸烟，香烟 
circle  n. /vt. 圆圈 将…圈起来 
circumstance  n.条件,环境,状况
citizen  n. 公民；居民 
city  n. 市，城市，都市 
civil  a. 国内的；平民（非军人）的；民用的 
class  n. （学校的）班；年级；课 
classroom  n. 教室 
clean  vt. 弄干净，擦干净 a. 清洁的，干净的 
cleaner  n.清洁工.,清洁器.,清洁剂 
clear  a. 清晰；明亮的；清楚的 
climate  n. 气候 
climb  v. 爬，攀登 
clock  n. 钟 
close  a. 亲密的；近，靠近 ad. 近，靠近 vt. 关，关闭 
cloth  n. 布 
clothes  n. 衣服；各种衣物 
clothing  n. (总称) 衣服 
cloud  n. 云；云状物；阴影 
cloudy  a. 多云的，阴天的 
club  n. 俱乐部；纸牌中的梅花 
coach  n. 教练；马车；长途车 
coast  n. 海岸；海滨 
coat  n. 外套；涂层；表皮；皮毛 vt. 给……穿外套；涂上 
coffee  n. 咖啡 
coin  n. 硬币 
cold  a. 冷的，寒的 n. 寒冷；感冒，伤风 
colleague  n. 同事 
collect  vt. 收集，搜集 
collection  n. 收藏品，收集物 
college  n. 学院；专科学校 
collision  n. 碰撞事故
colour (美color) n. 颜色 vt.给…着色，涂色 
combine  vt. 使联合；使结合 
come (came, come)  vi. 来，来到 
comfortable  a. 舒服的；安逸的；舒服自在的 
comment  n. 评论 
commit  v.犯（罪，错），自杀
commitment  n. 承诺,允诺,承担
committee  n. 委员会
common  a. 普通，一般；共有的 

Day 7
communicate  v. 交际；传达（感情，信息等） 
communication  n.交际,交往;通讯 
company  n. 公司 
compare  vt. 比较，对照 
compete  vi. 比赛，竞赛 
competition  n. 比赛，竞赛 
complete  a. 完成vt. 完成，结束
complex a. / n. 复杂的，建筑群
computer  n. 电子计算机 
concentrate  v. 聚精会神
concept  n. 概念
concern  v. / n. 涉及，关心
concert  n. 音乐会；演奏会 
conclude  v. 完成，结束 
conclusion  n. 结论；结束 
condition  n. 条件，状况 
conduct  vt. 引导，带领 
conference  n. (正式的)会议；讨论 
confident  a. 自信的
confirm  v. 证实，证明，确认
conflict  n. 冲突，争执，争论
connect  v. 连接，把…联系起来 
connection  n.连接物;接触,联系 
consequence  n. 结果，后果
consider  vt. 考虑 
consist  v. 包含，组成，构成
constant  a. 经常的，不断的 
construct  v. 构筑；建造，建设
construction  n.建造,建设,建筑物 
contain  v. 包含；包括；能容纳 
content  a.甘愿的,满意的 n.内容 
continent  n. 大陆，大洲；陆地 
continue  vi. 继续 
contribution  n. 贡献 
control  vt.& n. 控制 
convenient  a. 便利的，方便的 
conversation  n. 谈话，交谈
convince  v. 使确信，使信服
cook  n.炊事员,厨师 v.烹调,做饭 
cooker  n. 炊具(锅、炉灶、烤炉等) 
cool  a. 凉的，凉爽的；酷 
copy  n. 抄本，副本；一本（份，册……） v. 抄写；复印；（计算机用语）拷（备 份盘）
corner  n. 角；角落；拐角 
correct  v. 改正；纠正 a. 正确的，对的；恰当的 
correction  n. 改正 
corrupt  a. / v. 贪污的，腐败的，使腐化，堕落
cost (cost, cost)  v.值（钱），花费 n. 价格
cotton  n. 棉花 a. 棉花的 
could modal  v.（can的过去式）可以…；（表示许可或请求）可以…，行 
count  vt. 数，点数 
country  n. 国家；农村，乡下 
countryside  n. 乡下，农村 
couple  n. 夫妇，一对 
course  n. 过程；经过；课程 
court  n. 法庭；法院 
cover  n. 盖子；罩 v. 覆盖，遮盖；掩盖 
cow  n. 母牛，奶牛 
crazy  a. 疯狂的 
cream  n. 奶油，乳脂 
create  vt. 创造； 造成 
creature  n. 生物，动物
credit  n. 信用；信赖；信誉 

Day 8
crew  n. 全体船员 
crime  n. （法律上的）罪，犯罪 
criminal n.罪犯
cross  a. 脾气不好的，易怒的 n. 十字形的东西 vt. 越过；穿过 
crowd  n. 人群 vt. 拥挤，群聚 
cruel  a. 残忍的，残酷的；无情的 
cry  n. 叫喊；哭声 v. 喊叫；哭 
culture  n. 文化 
cup  n. 茶杯 
currency  n. 货币；现金 
curriculum  n.（学校的）全部课程
curtain  n. 窗帘 
custom  n. 习惯，习俗，风俗习惯 
customer  n. （商店）顾客，主顾 
cut (cut, cut)  v. / n. 切，剪，削，割, 伤口 
dad = daddy  n.（口）爸爸，爹爹 
daily  a. 每日的；日常的 ad. 每天 n. 日报 
damage  n.& vt. 毁坏，损害 
dance  n.& vi. 跳舞 
danger  n. 危险 
dangerous  a. 危险的 
dare  v.& aux..（后接不带to的不定式；主要用于疑问，否定或条件句）敢，敢于 
dark  n. 黑暗；暗处；日暮 a. 黑暗的；暗淡的；深色的 
darkness  n. 黑暗，阴暗 
data  n. 资料，数据 
database  n. 资料库，数据库 
date  n. 日期；约会 n.枣
daughter  n. 女儿 
day  n.（一）天，（一）日；白天 
dead  a. 死的；无生命的 
deaf  a. 聋的 
deal  n. 量，数额；交易 
dear  int.（表示惊愕）哎呀！唷！ a. 亲爱的；贵的 
death  n. 死
debate  n. & v.讨论，辩论
debt  n. 债务；欠款 
decade  n. 十年期 
December  n. 12月 
decide  v. 决定；下决心 
decision  n. 决定；决心 
declare  vt. 声明；断言
decline  v. 减少,下降,衰退,谢绝
deep  a. 深 ad. 深；深厚 
defeat  vt. 击败；战胜 
defence (美defense)   n. & v. 防御；防务 
defend  vt. 防守；保卫 
delay v.& n. 拖延，延误，延迟，延期；耽搁 
deliver  vt. 投递（信件，邮包等） 
demand  vt. 要求 
department(缩Dept.)  n. 部门；（机关的）司，处；（大学的）系 
depend  vi. 依靠，依赖，指望；取决于 
depth  n. 深，深度 
describe  vt. 描写，叙述 
description  n. 描述，描写 
desert  n. 沙漠 vt. 舍弃； 遗弃
deserve  v.（不用于进行时态）应得，应受
design  n.& vt. n. 设计，策划 图案，图样，样式 
desire  vt. & n. 要求；期望 

Day 9
desk  n. 书桌，写字台 
destroy  vt. 破坏，毁坏 
determine  vt. 决定；决心 
develop  v. （使）发展；（使）发达；（使）发育；开发 vt. 冲洗（照片） 
development  n. 发展，发达，发育，开发 
dialogue (美 dialog)  n. 对话 
die  v. 死 
diet  n. 饮食 
difference  n. 不同 
different  a. 不同的，有差异的 
difficult  a.难；艰难；不易相处 
difficulty  n. 困难，费力 
dig (dug, dug)  v. 挖（洞沟）,掘 
dinner  n. 正餐，宴会 
direct  a. / vt. 直接的；直达的；直截了当的 指挥；指导；监督；管理；指挥（演奏）；导演（电影） 
direction  n. 方向；方位 
director  n. 所长，处长，主任；董事；导演 
dirty  a. 脏的 
disappear  vi. 消失 
discover  vt. 发现 
discovery  n. 发现 
discuss  vt. 讨论，议论 
discussion  n. 讨论，辩论 
disease  n. 病，疾病
dish  n. 盘，碟；盘装菜；盘形物 
dismiss  vt. 让……离开；遣散；解散；解雇 
distance  n. 距离 
distant  a. 远的，遥远的 
disturb  vt. 扰乱；打扰 
divide  vt. 分，划分 
division  n. （算术用语）除 
do (did, done) don't=do not  v. & aux. 做，干（用以构成疑问句及否定句。第三人称单数现在时用does） 不做，不干
doctor  n. 医生，大夫；博士 
document  n. 文件；文献 
dog  n. 狗 
dollar  n. 元（美国、加拿大、澳大利亚等国货币单位） 
door  n. 门 
double  a. 两倍.双的 n. 两个.双 
doubt  n.& v. 怀疑，疑惑 
down  prep. 沿着，沿…而下 ad. 向下 
draw (drew, drawn)  v. 绘画；绘制；拉，拖；提取（金钱） 
dream (dreamt, dreamt 或--ed, --ed)  n.& vt. 梦，梦想 
dress  n. 女服，连衣裙；(统指)服装；童装 v. 穿衣；穿着 
drink  n. 饮料；喝酒 
drink(drank,drunk)  v. 喝，饮 
drive(drove,driven) v. 驾驶，开（车）；驱赶 
driver  n. 司机，驾驶员 
drop  n.滴 v.掉下.落下.投递.放弃 
drug  n. 药，药物；毒品 
dry v. 使…干；弄干；擦干 a. 干的；干燥的 
due a. 预期的；约定的 
during prep. 在…期间；在…过程中 
duty  n. 责任，义务 
each  a.& pron.每人.每个.每件 
early  a. 早的 ad. 早地 
earn vt. 挣得，赚得 
earth  n. 地球；土，泥；大地 
east a. 东方；东部的；朝东的；从东方来 ad. 在东方；向东方；从东方 n. 东，东方；东部 
eastern  a. 东方的；东部的 
easy  a. 容易的，不费力的 
eat (ate, eaten)  v. 吃 
edge  n. 边缘 
educate  vt. 教育，培养 
education  n. 教育，培养 
educator  n. 教育家 

Day 10
effect  n. 效果；作用 
effort n. 努力，艰难的尝试 
egg  n. 蛋；卵 
either  a. 两方任一方的；二者之一 conj. 二者之一；要么……
elect  vt. （投票）选举 
else  ad. 别的，其他的 
e-mail/e ]n. 电子邮件 
emergency  n.紧急情况或状态 
employ  vt. 雇佣 
empty  a. 空的 
encourage  vt. 鼓励 
encouragement  n. 鼓励 
end  n. 末尾；终点；结束 v. 结束，终止 
ending  n. 结局；结尾，最后 
enemy  n. 敌人；敌军 
energy n. 精力，能量 
engine  n. 发动机，引擎 
enjoy  vt.欣赏；享受乐趣；喜欢
enough  n. 足够；充足 a. 足够；充分的 ad. 足够地；充分地 
enter  vt. 进入 
entire  a. 整个的，全部的
entrance  n. 入口；入场；进入的权利;入学许可 
entry  n. 进入 
envelope  n. 信封 
environment  n.环境 
equal  a.平等的 vt.等于，使等于 
equality  n. 平等 
equipment  n. 装备，设备 
error  n. 错误；差错 
escape  n.& vi. 逃跑；逃脱
especially  ad. 特别，尤其 
even  ad. 甚至，连（…都）；更 
evening  n. 傍晚，晚上 
event  n. 事件，大事 
eventually  ad.最终地 
ever  ad. 曾经；无论何时 
every  a. 每一，每个的 
everybody pron. 每人，人人 
everyone  pron. 每人，人人 
everything  pron. 每件事，事事 
exam = examination  n. 考试，测试；检查；审查 
examine vt. 检查；诊察 
example  n. 例子；榜样 
excellent  a. 极好的，优秀的 
except prep. 除……之外 
exchange n. 交换，掉换；交流 
excuse  n.借口.辩解 vt.原谅.宽恕 
exercise n. 锻炼，做操；练习，习题 vi. 锻炼 
exhibition  n. 展览；展览会 
exist  vi. 存在 
existence  n.存在；生存；存在物 
expand  v.扩大，增加，扩展
expect  vt. 预料；盼望；认为 
expense  n. 消费； 支出 
expensive  a. 昂贵的 
experience  n. 经验；经历 
expert  n. 专家，能手 
explain  vt. 解释，说明 
explanation  n. 解释，说明 
explore  v. 探险 

Day 11
express  vt. 表达；表示；表情 n. 快车，特快专递 
expression n. 表达；词句；表示，说法；表情 
extension  n.扩大，延伸
extra a. 额外的，外加的 
extreme  a. 极其的，非常的
eye  n. 眼睛 
face n. 脸 vt. 面向；面对 
fact n. 事实，现实 
factory n. 工厂 
fail  v. 失败；不及格；衰退 
failure  n. 失败 
fair  a. 公平的，合理的 a. (肤色)白皙的； （人）白肤金发的 n. 集市；庙会；展览会 
faith  n. 信仰；信念 
fall  n. （美）秋季 
fall  (fell, fallen) vi. 落（下），降落；倒 
false  a. 不正确的；假的 
familiar a. 熟悉的 
family  n. 家庭；家族；子女 
famous a. 著名的 
fan n. （电影、运动等的）迷；热心的爱好者（支持者） n. 风扇 
far  (farther, farthest 或further , furthest) a.& ad. 远的；远地 
fast a. 快的，迅速的；紧密的 ad. 快地，迅速地；紧密地
fasten vt. 扎牢；扣住 
fat n. 脂肪 a. 胖的；肥的 
father  n. 父亲 
fault n. 缺点，毛病 
favour  (美favor) n. 恩惠；好意；帮助 
fear n. 害怕；恐惧； 担忧 
federal a.中央的（政府）联邦的 
fee n. 费，费用 
feed (fed, fed)  vt. 喂（养）；饲（养） 
feel (felt, felt) v.& link 感觉，觉得；摸，触 
feeling n. 感情；感觉 
female a. 女的；女性的；雌性的 
few  pron. 不多；少数 不多的；少数的 
fiction n.小说，虚构的事
field n. 田地；牧场；场地 
fight  n. 打仗（架），争论 
fight  (fought, fought) n. 打仗（架），与……打仗（架）
figure  n.数字；数目；图；图形；（人的）身型；人物；（绘画、雕刻）人物像 vt.（美口语）认为，判断.（在心里）想像，描绘 
file n.公文柜；档案(计算机)文档 
fill vt. 填空，装满 
film  n. 电影；影片；胶卷vt. 拍摄，把……拍成电影 
final  a. 最后的；终极的 
find  (found, found) vt. 找到，发现，感到 
fine a. 细的；晴朗的；美好的；（身体）健康的 n.& v. 罚款 
finger  n. 手指 
finish  v. 结束；做完 
stay  n.& vi. 停留，逗留，呆 
fire  n. 火；火炉；火灾 vi. 开火，开（枪，炮等），射击 
firm  n.公司;企业 a.坚固的,坚定的 
fish  n. 鱼；鱼肉 vi. 钓鱼；捕鱼 
fisherman  n. 渔民；钓鱼健身者 
fit  a. 健康的, 适合的 v. （使）适合，安装 
fix  vt. 修理；安装；确定，决定 
flat  a. 平的 n. 楼中一套房间； 公寓(常用复数) 
flight  n. 航班 n. 楼梯的一段 
floor  n.地面，地板.（楼房的）层 
flow  vi. 流动 
flower  n. 花 
fly  n. 飞行；苍蝇 
fly (flew, flown)  vi. （鸟、飞机）飞；（人乘飞机）飞行；（旗子等）飘动 vt. 空运（乘客，货物等）；放（风筝、飞机模型等）
fold  vt. 折叠；合拢 
follow  vt. 跟随；仿效；跟得上
food  n. 食物，食品 

Day 12
foot (复 feet)  n. 足，脚；英尺 
football  n. （英式）足球；（美式）橄榄球 
for  prep. 为了…；向…，往…；与…交换；防备…；适合…；因为…；在…期 间；对于…；对…来说 conj. 因为，由于 
force  vt. 强迫，迫使 
foreign  a. 外国的 
forest  n. 森林 
forget  (forgot, forgotten) v. 忘记；忘掉 
form  n. 表格；形式；结构 
former  a. 以前的，从前的；（两者之中的）前者 
forward  ad.将来.今后.向前，前进 
free  a. 自由，空闲的；免费的 
freedom  n. 自由 
fresh  a. 新鲜的 
friend  n. 朋友 
friendly  a. 友好的 
from  prep.从；从…起.距.来自 
front  a. 前面的；前部的 n. 前面；前部；前线 
fruit  n. 水果；果实 
fuel  n. 燃料 
full  a. 满的，充满的；完全的 
fun  n. 有趣的事，娱乐，玩笑 
function   n. / v. 作用,功能,运转
fundamental  a. 十分重大的，根本的
funny  a. 有趣的，滑稽可笑的
furniture  n. （总称）家具 
future  n. 将来 
gain  vt. 赢得；挣得
game  n. 游戏；运动；比赛 
garden  n. 花园，果园，菜园 
gas  n. 煤气 
gate  n. 大门 
gather  v. 聚集；采集 
general  a. 大体，笼统的，总的 
generation  n. 代，一代 
get (got , got)  vt. 成为；得到；具有；到达 
gift  n. 赠品；礼物 
girl  n. 女孩 
give (gave, given)  vt. 给,递给,付出,给予 
glad  a. 高兴的；乐意的 
glass  n.玻璃杯,玻璃；(复)眼镜 
go (went, gone)  vi. 去；走；驶；通到；到达 n. 尝试（做某事） 
goal  n. （足球）球门，目标 
goat  n. 山羊 
gold  n. 黄金 a 金的，黄金的 
good (better ,best)  a. 好；良好 
goods  n. 商品，货物
government  n. 政府 
grandma = grandmother  n. 奶奶；外婆 
grandpa = grandfather  n.爷爷,外公 
grass  n. 草；草场；牧草 
great  a. 伟大的,重要的,好极了 ad. （口语）好极了，很好 
green  a. 绿色的；青的 n. 绿色 
ground  n. 地面 
group  n. 组，群 
grow (grew, grown)  v. 生长；发育；种植；变成 
growth  n. 生长，增长 
guard  n. 防护装置，警戒 
guess  vi. 猜 
guide  n. 向导，导游者 
guilty  a.有罪,犯法的,做错事的 
guitar  n. 吉他，六弦琴 

Day 13
gun  n. 枪，炮
hair  n. 头发 
half  a.& n. 半，一半，半个
hall  n. 大厅,会堂,礼堂;过道 
hand  n. 手；指针 v. 递；给；交付 交上；交进 
handle  n. 柄，把柄 v. 处理 
hang (hung, hung)  v.悬挂，吊着；把……吊起 （hanged,hanged）
happen  vi.（偶然）发生 
happy  a.幸福；快乐的，高兴的 
hard  ad. 努力地；使劲；猛烈地 a.硬的；困难的；艰难的 
hardly  ad. 几乎不 
hat  n.帽子(一般指有边的)；礼帽 
hate  vt.& n. 恨，讨厌 
have (has, had, had)  vt.有；吃；喝；进行；经受 
he  pron. 他 
head  n. 头；头脑(像)；才智；首脑；源头；标题 a. 头部的；主要的；首席的 v. 率领；加标题；用头顶；出发；(船等)驶向 
health  n. 健康，卫生 
